antibody_name,y_true,fold,esmc_model__Ridge_abserr,esmc_model__Ridge_pred,esmc_model__Ridge_high_err,esmc_model_abserr,esmc_model_pred,esmc_model_high_err,esmc_model__ElasticNet_abserr,esmc_model__ElasticNet_pred,esmc_model__ElasticNet_high_err,esmc_model__SVR_rbf_abserr,esmc_model__SVR_rbf_pred,esmc_model__SVR_rbf_high_err,prost_t5_model__Ridge_abserr,prost_t5_model__Ridge_pred,prost_t5_model__Ridge_high_err,prost_t5_model_abserr,prost_t5_model_pred,prost_t5_model_high_err,prost_t5_model__ElasticNet_abserr,prost_t5_model__ElasticNet_pred,prost_t5_model__ElasticNet_high_err,prost_t5_model__SVR_rbf_abserr,prost_t5_model__SVR_rbf_pred,prost_t5_model__SVR_rbf_high_err,prot_t5_model__Ridge_abserr,prot_t5_model__Ridge_pred,prot_t5_model__Ridge_high_err,prot_t5_model_abserr,prot_t5_model_pred,prot_t5_model_high_err,prot_t5_model__ElasticNet_abserr,prot_t5_model__ElasticNet_pred,prot_t5_model__ElasticNet_high_err,prot_t5_model__SVR_rbf_abserr,prot_t5_model__SVR_rbf_pred,prot_t5_model__SVR_rbf_high_err,protbert_model__Ridge_abserr,protbert_model__Ridge_pred,protbert_model__Ridge_high_err,protbert_model_abserr,protbert_model_pred,protbert_model_high_err,protbert_model__ElasticNet_abserr,protbert_model__ElasticNet_pred,protbert_model__ElasticNet_high_err,protbert_model__SVR_rbf_abserr,protbert_model__SVR_rbf_pred,protbert_model__SVR_rbf_high_err,ankh_model__Ridge_abserr,ankh_model__Ridge_pred,ankh_model__Ridge_high_err,ankh_model_abserr,ankh_model_pred,ankh_model_high_err,ankh_model__ElasticNet_abserr,ankh_model__ElasticNet_pred,ankh_model__ElasticNet_high_err,ankh_model__SVR_rbf_abserr,ankh_model__SVR_rbf_pred,ankh_model__SVR_rbf_high_err,n_models_high_err
epratuzumab,491.08,1,225.647357332103,265.43264266789697,1.0,257.4204714005077,233.65952859949223,1.0,233.8749235600256,257.2050764399744,1.0,263.28185135351896,227.79814864648102,1.0,274.4017934889174,216.67820651108258,1.0,254.89442011454594,236.18557988545405,1.0,250.36801024697877,240.71198975302121,1.0,253.64543091608198,237.434569083918,1.0,217.2439102083,273.8360897917,1.0,300.3254113976542,190.75458860234576,1.0,237.77404467952817,253.3059553204718,1.0,269.6592521947323,221.4207478052677,1.0,257.33525003488137,233.74474996511861,1.0,246.5306566434988,244.5493433565012,1.0,273.19467098216546,217.88532901783455,1.0,263.71003040098947,227.36996959901052,1.0,183.78595233455945,307.29404766544053,1.0,225.73862893669434,265.34137106330564,1.0,210.33324119262,280.74675880738,1.0,263.7518293205365,227.32817067946348,1.0,20.0
emibetuzumab,781.93,0,476.8582656136536,305.07173438634635,1.0,539.6427257646222,242.28727423537774,1.0,488.10669611583876,293.8233038841612,1.0,547.6516364005828,234.27836359941716,1.0,424.0061424834384,357.92385751656155,1.0,562.8353726249585,219.09462737504145,1.0,479.94730238868874,301.9826976113112,1.0,555.5135207491332,226.41647925086673,1.0,572.9884959844392,208.94150401556078,1.0,525.0749996644909,256.85500033550915,1.0,540.6387516496756,241.29124835032442,1.0,553.6287390387414,228.30126096125858,1.0,513.5548709339016,268.37512906609834,1.0,535.2623440258487,246.66765597415116,1.0,524.6547391651468,257.2752608348531,1.0,545.6866135587159,236.24338644128406,1.0,508.3850451452624,273.54495485473757,1.0,536.1339157509148,245.7960842490852,1.0,513.3307063158832,268.5992936841168,1.0,560.0251635822997,221.9048364177003,1.0,20.0
tovetumab,491.52,2,304.1097449206942,187.4102550793058,1.0,252.13359752455767,239.3864024754423,1.0,282.08918542505285,209.4308145749471,1.0,258.6089588141661,232.91104118583388,1.0,270.90067083220276,220.6193291677972,1.0,251.84128165081086,239.67871834918913,1.0,271.28413402835054,220.23586597164945,1.0,259.23938333459535,232.2806166654046,1.0,285.6711753704519,205.8488246295481,1.0,250.0263565660719,241.49364343392807,1.0,263.4223358361263,228.0976641638737,1.0,251.05213418947596,240.46786581052402,1.0,198.92339922760266,292.5966007723973,1.0,230.26409887891958,261.2559011210804,1.0,214.7433207132462,276.7766792867538,1.0,244.94456267607416,246.57543732392583,1.0,255.26705544563956,236.25294455436043,1.0,246.6119779410669,244.90802205893308,1.0,250.95922218832882,240.56077781167116,1.0,249.39082459262724,242.12917540737274,1.0,20.0
dalotuzumab,464.78,3,300.240284303168,164.539715696832,1.0,307.6898434359548,157.09015656404517,1.0,274.7120857191138,190.06791428088616,1.0,257.9138218504751,206.86617814952493,1.0,448.6512194025443,16.12878059745566,1.0,250.04793929457614,214.73206070542383,1.0,378.346559448461,86.43344055153895,1.0,265.0816247139976,199.69837528600237,1.0,296.634992486567,168.14500751343297,1.0,280.46535592905684,184.31464407094316,1.0,293.77887341718855,171.00112658281142,1.0,268.3629630250964,196.41703697490357,1.0,278.9444705792417,185.8355294207583,1.0,253.25983417869207,211.5201658213079,1.0,269.6114808146415,195.16851918535846,1.0,250.6514574571968,214.12854254280316,1.0,383.99629099088975,80.7837090091102,1.0,262.647688169139,202.132311830861,1.0,327.08350084003297,137.696499159967,1.0,249.46285929429496,215.31714070570501,1.0,20.0
dacetuzumab,34.26,0,258.6517788580791,292.9117788580791,1.0,196.88155210774178,231.14155210774177,1.0,264.168330008515,298.428330008515,1.0,180.19850339527318,214.45850339527317,1.0,346.2291212035601,380.4891212035601,1.0,191.2722307397076,225.5322307397076,1.0,286.6465392447766,320.9065392447766,1.0,187.36872619497774,221.62872619497773,1.0,282.0206312830079,316.2806312830079,1.0,220.01719653460378,254.27719653460377,1.0,283.53870278146866,317.79870278146865,1.0,191.90657630396424,226.16657630396423,1.0,241.00648287505607,275.26648287505606,1.0,195.16162486110073,229.42162486110072,1.0,220.84540865050215,255.10540865050214,1.0,166.90947177266736,201.16947177266735,1.0,237.60392574861612,271.8639257486161,1.0,209.24064672306534,243.50064672306533,1.0,243.76980990816168,278.02980990816167,1.0,177.81111087386853,212.07111087386852,1.0,20.0
lebrikizumab,57.13,2,131.33477719983395,188.46477719983395,1.0,189.42189687296957,246.55189687296956,1.0,177.33364106492994,234.46364106492993,1.0,179.55032117190322,236.68032117190322,1.0,229.44837797337976,286.57837797337976,1.0,149.7660803774541,206.8960803774541,1.0,199.4301298433062,256.5601298433062,1.0,170.03872845103535,227.16872845103535,1.0,226.05001398482648,283.1800139848265,1.0,184.07263483451544,241.20263483451544,1.0,224.95221436251643,282.0822143625164,1.0,183.1294834242271,240.25948342422708,1.0,107.51815190572054,164.64815190572054,0.0,185.3516445140821,242.4816445140821,1.0,142.7537655051452,199.8837655051452,1.0,178.83927093150592,235.96927093150592,1.0,251.1692196703616,308.2992196703616,1.0,188.26501762097786,245.39501762097785,1.0,212.65454858702753,269.78454858702753,1.0,175.33150266379994,232.46150266379993,1.0,19.0
zolbetuximab,375.2,4,149.1875116345696,226.01248836543039,1.0,192.0473376483049,183.15266235169508,1.0,179.62419955137028,195.5758004486297,1.0,174.34279304230145,200.85720695769854,1.0,156.93288116879415,218.26711883120583,1.0,173.7136041464335,201.48639585356648,1.0,192.44816862807255,182.75183137192744,1.0,166.100086082566,209.09991391743398,1.0,152.99792753810777,222.20207246189221,1.0,141.71396614615293,233.48603385384706,1.0,142.85040119013814,232.34959880986185,1.0,161.16292191736346,214.03707808263653,1.0,145.51045033609688,229.6895496639031,1.0,190.45203662152025,184.74796337847974,1.0,185.07950139471583,190.12049860528415,1.0,176.5396723489135,198.66032765108648,1.0,127.59064579559504,247.60935420440495,0.0,182.6421354438919,192.5578645561081,1.0,169.0452546964856,206.15474530351437,1.0,171.70322503431467,203.49677496568532,1.0,19.0
mitazalimab,678.57,4,122.65554646096007,555.91445353904,0.0,311.4107048510102,367.1592951489898,1.0,168.37018561392495,510.1998143860751,1.0,442.56777456610257,236.0022254338975,1.0,231.7730660331456,446.79693396685445,1.0,271.3640453655047,407.20595463449536,1.0,226.75113356602446,451.8188664339756,1.0,448.2282660586332,230.34173394136684,1.0,151.05823971009033,527.5117602899097,1.0,319.5067626534519,359.06323734654814,1.0,192.17155679434836,486.3984432056517,1.0,444.7772628396545,233.79273716034555,1.0,174.09814376511235,504.4718562348877,1.0,270.4466563237889,408.12334367621116,1.0,191.52339527960373,487.0466047203963,1.0,442.9639270324317,235.60607296756834,1.0,141.642170939626,536.927829060374,1.0,310.25348394167116,368.3165160583289,1.0,207.1705614009985,471.39943859900154,1.0,437.40563114300517,241.16436885699486,1.0,19.0
nimotuzumab,60.31,1,190.7349153677122,251.0449153677122,1.0,163.08728486388767,223.39728486388768,1.0,186.4944997453144,246.80449974531442,1.0,160.76681671181237,221.07681671181237,1.0,222.39804962026068,282.7080496202607,1.0,140.31378534670068,200.62378534670069,1.0,183.45194764232292,243.76194764232292,1.0,149.27811129194924,209.58811129194925,1.0,139.1795221149849,199.4895221149849,1.0,142.75368635718297,203.06368635718297,1.0,173.15005164345246,233.46005164345246,1.0,156.77223067068698,217.08223067068698,1.0,167.3305893809059,227.6405893809059,1.0,177.1192588965858,237.4292588965858,1.0,177.4706624830579,237.7806624830579,1.0,164.09867423123367,224.40867423123368,1.0,82.24246143953033,142.55246143953033,0.0,161.9702293567836,222.2802293567836,1.0,150.19270931905467,210.50270931905467,1.0,150.91354343941515,211.22354343941515,1.0,19.0
motavizumab,383.43,3,113.56167468055708,269.86832531944293,0.0,194.03033789221587,189.39966210778414,1.0,185.37408516872307,198.05591483127694,1.0,172.85916906863014,210.57083093136987,1.0,228.78931995572714,154.64068004427287,1.0,138.97053660474978,244.45946339525022,1.0,191.76426589304714,191.66573410695287,1.0,164.30270817084534,219.12729182915467,1.0,50.31232063309085,333.11767936690916,0.0,151.6966125530714,231.73338744692862,1.0,120.76292145364982,262.6670785463502,1.0,163.3481653445757,220.0818346554243,1.0,222.49623624894997,160.93376375105004,1.0,218.25410162432954,165.17589837567047,1.0,234.94849861558652,148.4815013844135,1.0,174.9744854302553,208.4555145697447,1.0,185.55342150871246,197.87657849128755,1.0,137.65427144425274,245.77572855574726,1.0,183.57001567774972,199.85998432225028,1.0,163.79790487109173,219.63209512890828,1.0,18.0
ozanezumab,331.91,4,121.75236307042138,210.15763692957864,0.0,145.36390639453506,186.54609360546496,1.0,119.81082299597549,212.09917700402454,0.0,129.16261293143987,202.74738706856016,1.0,185.0925870461258,146.81741295387422,1.0,173.31132318370766,158.59867681629237,1.0,167.0390956153838,164.87090438461624,1.0,135.45503331194206,196.45496668805797,1.0,280.99077620158033,50.919223798419694,1.0,157.36260263333227,174.54739736666775,1.0,233.6592159755252,98.25078402447483,1.0,137.46473177920365,194.44526822079638,1.0,145.4336560850043,186.47634391499574,1.0,135.24685645617146,196.66314354382857,1.0,125.46322432857815,206.44677567142188,1.0,120.84680792238638,211.06319207761365,1.0,250.17297171583814,81.73702828416188,1.0,225.29680772749728,106.61319227250274,1.0,221.3652308817524,110.54476911824761,1.0,133.33095080007095,198.57904919992907,1.0,18.0
rontalizumab,89.39,0,165.4088289614113,254.7988289614113,1.0,143.89812837691068,233.28812837691066,1.0,140.5227522881675,229.9127522881675,1.0,127.17840704324719,216.5684070432472,1.0,184.337911220752,273.727911220752,1.0,143.5246316425982,232.9146316425982,1.0,147.44845576913292,236.83845576913293,1.0,131.61830586234595,221.00830586234594,1.0,121.81272948136687,211.20272948136687,0.0,152.59352462670438,241.98352462670437,1.0,135.558508498709,224.948508498709,1.0,139.17106149716312,228.5610614971631,1.0,170.60978816180915,259.99978816180914,1.0,128.60649418109807,217.9964941810981,1.0,132.8070647832962,222.19706478329618,1.0,110.33371485340915,199.72371485340915,0.0,164.37614801070646,253.76614801070644,1.0,145.0627844516663,234.4527844516663,1.0,147.38379064917802,236.773790649178,1.0,119.02770272708126,208.41770272708126,1.0,18.0
sirukumab,83.88,2,204.1333185951405,288.0133185951405,1.0,140.67309522116636,224.55309522116636,1.0,180.28302338738877,264.16302338738876,1.0,143.53342218025577,227.41342218025576,1.0,163.84733109818117,247.72733109818117,1.0,147.75541131566757,231.63541131566757,1.0,177.10449523406334,260.98449523406333,1.0,156.25036446001928,240.13036446001928,1.0,262.03029141602923,345.9102914160292,1.0,150.8543548404935,234.7343548404935,1.0,249.94103298772575,333.82103298772574,1.0,156.81737103879988,240.69737103879987,1.0,67.93798448238704,151.81798448238703,0.0,148.12196846438877,232.00196846438877,1.0,106.7477640584762,190.6277640584762,0.0,130.35322447686175,214.23322447686175,1.0,157.7316110038015,241.6116110038015,1.0,160.68601640670133,244.56601640670132,1.0,170.23620576111244,254.11620576111244,1.0,162.7838135163836,246.66381351638358,1.0,18.0
ublituximab,46.59,2,151.41492448760943,198.00492448760943,1.0,145.27965544947463,191.86965544947464,1.0,155.7215745465022,202.31157454650221,1.0,175.21967108067685,221.80967108067685,1.0,148.24315025678433,194.83315025678434,1.0,223.47775753581757,270.0677575358176,1.0,183.97357291529548,230.56357291529548,1.0,187.0917874946741,233.6817874946741,1.0,113.91503089905515,160.50503089905516,0.0,197.47177917897776,244.06177917897776,1.0,146.2492854371857,192.8392854371857,1.0,179.65479320368982,226.24479320368982,1.0,236.97622489858784,283.56622489858785,1.0,212.5222381904845,259.1122381904845,1.0,225.13891285182652,271.7289128518265,1.0,182.87929233413976,229.46929233413977,1.0,128.11481751684207,174.70481751684207,0.0,190.13077660994776,236.72077660994776,1.0,167.19053534913098,213.780535349131,1.0,179.1721407783008,225.7621407783008,1.0,18.0
utomilumab,438.38,3,193.42044717282968,244.9595528271703,1.0,166.9498594549239,271.4301405450761,1.0,233.11645031296297,205.26354968703703,1.0,200.70433555385273,237.67566444614727,1.0,204.48362587921076,233.89637412078923,1.0,154.46393522153846,283.91606477846153,1.0,179.37224187394077,259.00775812605923,1.0,192.65044879723922,245.72955120276077,1.0,83.55724014503085,354.82275985496915,0.0,128.6536614052896,309.7263385947104,1.0,90.99165118554697,347.388348814453,0.0,186.5747806016238,251.8052193983762,1.0,161.4822011424592,276.8977988575408,1.0,207.79583235372692,230.58416764627307,1.0,172.96438060565833,265.41561939434166,1.0,191.74727084628216,246.63272915371783,1.0,216.37206785708133,222.00793214291866,1.0,128.07017037294457,310.3098296270554,1.0,173.37526641114488,265.0047335888551,1.0,183.8704058401501,254.50959415984988,1.0,18.0
cetrelimab,69.28,3,150.70234462905964,219.98234462905964,1.0,182.7818214132182,252.0618214132182,1.0,171.57159150873923,240.85159150873923,1.0,171.82727095320857,241.10727095320857,1.0,159.86621010761942,229.14621010761942,1.0,157.14862888646505,226.42862888646505,1.0,146.01158914723297,215.29158914723297,1.0,156.16994597862595,225.44994597862595,1.0,120.58714350065489,189.8671435006549,0.0,152.72647848497408,222.00647848497408,1.0,128.9731863334981,198.2531863334981,1.0,147.84894643642733,217.12894643642733,1.0,170.36365700118006,239.64365700118006,1.0,195.44126176716102,264.721261767161,1.0,194.84208304525558,264.1220830452556,1.0,170.34106135953013,239.62106135953013,1.0,124.76425577773878,194.04425577773878,0.0,139.1317341288494,208.4117341288494,1.0,129.74985590672745,199.02985590672745,1.0,149.56337302907406,218.84337302907406,1.0,18.0
cemiplimab,72.14,1,157.6893279115704,229.82932791157037,1.0,159.0023998991731,231.14239989917309,1.0,168.38351800229503,240.52351800229505,1.0,160.76594189109784,232.90594189109785,1.0,93.49403758741686,165.63403758741686,0.0,183.76877410748244,255.90877410748243,1.0,153.15693257411198,225.29693257411196,1.0,178.99479075063692,251.1347907506369,1.0,222.87296683541115,295.01296683541113,1.0,193.50256222216348,265.64256222216346,1.0,224.35064454528708,296.49064454528707,1.0,176.7735193227718,248.9135193227718,1.0,203.06836262806303,275.208362628063,1.0,199.92162867892227,272.06162867892226,1.0,195.48906113291486,267.62906113291484,1.0,168.52002854278828,240.66002854278827,1.0,132.3697153474605,204.50971534746049,0.0,170.08071328142574,242.22071328142576,1.0,167.43051942235695,239.57051942235697,1.0,174.7631633533545,246.9031633533545,1.0,18.0
tigatuzumab,121.41,0,123.2996255942702,244.7096255942702,0.0,155.7912260127953,277.2012260127953,1.0,167.95100406620796,289.36100406620795,1.0,129.3391316569559,250.7491316569559,1.0,114.25214111682791,235.6621411168279,0.0,125.3447400450157,246.7547400450157,1.0,167.444752066264,288.854752066264,1.0,122.51143574530502,243.92143574530502,1.0,134.86542783660306,256.27542783660306,1.0,161.9659565486477,283.3759565486477,1.0,173.6943996095587,295.1043996095587,1.0,129.42476127702636,250.83476127702636,1.0,111.21934138568696,232.62934138568696,0.0,163.10521689243754,284.51521689243754,1.0,164.21156763311538,285.6215676331154,1.0,125.29547056063132,246.7054705606313,1.0,176.54560501504355,297.95560501504355,1.0,154.08236548975603,275.492365489756,1.0,188.42339908325332,309.8333990832533,1.0,127.71215882385187,249.12215882385186,1.0,17.0
tavolimab,108.15,3,144.63748514793016,252.78748514793017,1.0,91.70709632381897,199.85709632381898,0.0,127.36617238541908,235.51617238541908,1.0,108.27457948943211,216.42457948943212,0.0,184.6256843254598,292.7756843254598,1.0,125.16032679869568,233.31032679869568,1.0,173.90045198168863,282.05045198168864,1.0,114.38766045130663,222.53766045130664,0.0,88.59227116338462,196.74227116338463,0.0,118.95538053633797,227.10538053633798,1.0,133.58832859175652,241.73832859175653,1.0,118.70614751448446,226.85614751448446,1.0,157.9657741628374,266.1157741628374,1.0,136.741022362775,244.891022362775,1.0,139.04857968036615,247.19857968036615,1.0,127.68396774399804,235.83396774399804,1.0,153.9195197951449,262.0695197951449,1.0,126.68324309050914,234.83324309050914,1.0,148.57779241338855,256.72779241338856,1.0,110.75086049106571,218.9008604910657,0.0,15.0
